160 kVp X-ray spectrum data of 12 degree tunsten target with 0.8 mmAl permanent filteration
Energy(keV),Fluence (cm⁻² keV⁻¹)
1.0, 1.87E-91
1.1, 1.80E-70
1.2, 3.14E-55
1.3, 7.22E-44
1.4, 3.29E-35
1.5, 1.85E-28
1.6, 0
1.7, 8.92E-281
1.8, 3.94E-247
1.9, 6.85E-219
2.0, 3.15E-193
2.1, 4.83E-170
2.2, 1.94E-150
2.3, 9.64E-134
2.4, 2.05E-119
2.5, 4.76E-107
2.6, 2.57E-96
2.7, 6.08E-87
2.8, 1.01E-78
2.9, 1.77E-71
3.0, 6.31E-65
3.1, 5.45E-59
3.2, 1.03E-53
3.3, 5.26E-49
3.4, 8.62E-45
3.5, 5.26E-41
3.6, 1.35E-37
3.7, 1.64E-34
3.8, 1.01E-31
3.9, 3.49E-29
4.0, 7.64E-27
4.1, 1.11E-24
4.2, 1.04E-22
4.3, 6.68E-21
4.4, 3.03E-19
4.5, 1.01E-17
4.6, 2.56E-16
4.7, 5.03E-15
4.8, 7.90E-14
4.9, 1.01E-12
5.0, 1.09E-11
5.1, 1.02E-10
5.2, 8.05E-10
5.3, 5.53E-09
5.4, 3.33E-08
5.5, 1.78E-07
5.6, 8.52E-07
5.7, 3.68388E-06
5.8, 1.45222E-05
5.9, 5.25589E-05
6.0, 0.000177454
6.1, 0.000561497
6.2, 0.001658242
6.3, 0.004594557
6.4, 0.011999484
6.5, 0.029669394
6.6, 0.069725003
6.7, 0.156301371
6.8, 0.335321118
6.9, 0.690545429
7.0, 1.369077083
7.1, 2.619823268
7.2, 4.849190469
7.3, 48.45971997
7.4, 15.16328081
7.5, 25.71450337
7.6, 44.19143933
7.7, 68.59364792
7.8, 108.2244684
7.9, 173.3778129
8.0, 253.827313
8.1, 379.1917828
8.2, 556.2870735
8.3, 69495.3876
8.4, 1138.424265
8.5, 1591.034248
8.6, 2191.785404
8.7, 6030.809719
8.8, 3995.797056
8.9, 5295.452685
9.0, 6939.480689
9.1, 8997.706996
9.2, 11942.40209
9.3, 14668.75172
9.4, 18462.83012
9.5, 83969.97794
9.6, 1213134.264
9.7, 35691.79292
9.8, 187637.7312
9.9, 967525.0348
10.0, 61773.62285
10.1, 130733.9568
10.2, 38380.14442
10.3, 34664.2655
10.4, 40668.18153
10.5, 47461.86918
10.6, 55149.69241
10.7, 63813.25274
10.8, 73485.98077
10.9, 111592.5594
11.0, 96165.50775
11.1, 110562.5698
11.2, 123828.8933
11.3, 1409884.199
11.4, 167171.2488
11.5, 283253.2364
11.6, 289285.0195
11.7, 150230.3351
11.8, 172621.1569
11.9, 183915.357
12.0, 265706.3467
12.1, 190353.9704
12.2, 205268.5828
12.3, 224099.6356
12.4, 244123.918
12.5, 265354.3193
12.6, 287822.9192
12.7, 311516.7142
12.8, 336453.8901
12.9, 362652.4108
13.0, 390129.5267
13.1, 418899.1315
13.2, 448973.6535
13.3, 480363.493
13.4, 513077.0543
13.5, 547121.5882
13.6, 582502.1895
13.7, 619221.4932
13.8, 657280.3075
13.9, 696678.3716
14.0, 737504.8228
14.1, 779772.6448
14.2, 823388.6485
14.3, 868349.2407
14.4, 914644.8673
14.5, 962263.1008
14.6, 1011196.466
14.7, 1061432.126
14.8, 1112956.942
14.9, 1165755.896
15.0, 1219724.755
15.1, 1274845.9
15.2, 1331191.621
15.3, 1388743.762
15.4, 1447484.57
15.5, 1507392.13
15.6, 1568444.669
15.7, 1630623.238
15.8, 1693904.991
15.9, 1758275.737
16.0, 1823701.333
16.1, 1890147.569
16.2, 1957599.546
16.3, 2026032.945
16.4, 2095422.943
16.5, 2165740.913
16.6, 2236960.119
16.7, 2309056.255
16.8, 2382000.364
16.9, 2455764.943
17.0, 2530320.403
17.1, 2605633.313
17.2, 2681679.006
17.3, 2758433.574
17.4, 2835868.102
17.5, 2914165.392
17.6, 2993292.335
17.7, 3073013.204
17.8, 3153312.568
17.9, 3234161.715
18.0, 3315534.852
18.1, 3397399.692
18.2, 3479726.477
18.3, 3562486.725
18.4, 3645652.987
18.5, 3729198.605
18.6, 3813092.48
18.7, 3897302.665
18.8, 3981810.57
18.9, 4066585.545
19.0, 4151602.99
19.1, 4236867.858
19.2, 4322318.023
19.3, 4407907.876
19.4, 4493634.335
19.5, 4579469.294
19.6, 4665388.026
19.7, 4751364.193
19.8, 4837372.345
19.9, 4923390.382
20.0, 5008081.942
20.1, 5091430.088
20.2, 5174727.634
20.3, 5257952.902
20.4, 5341085.72
20.5, 5424109.566
20.6, 5507006.357
20.7, 5589795.186
20.8, 5672398.02
20.9, 5754775.396
21.0, 5836939.655
21.1, 5918876.96
21.2, 6000576.655
21.3, 6082009.243
21.4, 6163157.32
21.5, 6244007.108
21.6, 6324545.889
21.7, 6404753.855
21.8, 6484610.665
21.9, 6564111.493
22.0, 6643386.583
22.1, 6722432.795
22.2, 6801092.538
22.3, 6879402.37
22.4, 6957256.884
22.5, 7034629.54
22.6, 7111545.469
22.7, 7187992.284
22.8, 7263958.315
22.9, 7339438.895
23.0, 7414422.311
23.1, 7488915.883
23.2, 7562890.162
23.3, 7636316.083
23.4, 7709194.651
23.5, 7781521.781
23.6, 7853292.21
23.7, 7924498.097
23.8, 7995154.457
23.9, 8065312.239
24.0, 8134841.85
24.1, 8203731.927
24.2, 8272011.047
24.3, 8339672.525
24.4, 8406713.114
24.5, 8473135.993
24.6, 8538928.514
24.7, 8604090.995
24.8, 8668604.438
24.9, 8732446.323
25.0, 8795823.237
25.1, 8858708.618
25.2, 8920935.365
25.3, 8982503.358
25.4, 9043425.273
25.5, 9103784.492
25.6, 9163405.834
25.7, 9222299.846
25.8, 9280509.571
25.9, 9338038.149
26.0, 9394904.097
26.1, 9451086.363
26.2, 9506576.126
26.3, 9561379.556
26.4, 9615470.388
26.5, 9668858.992
26.6, 9721558.854
26.7, 9773567.491
26.8, 9824882.376
26.9, 9875527.743
27.0, 9925506.163
27.1, 9974929.841
27.2, 10023573.08
27.3, 10071477.15
27.4, 10118689.68
27.5, 10165212.25
27.6, 10211047.11
27.7, 10256187.66
27.8, 10300637.94
27.9, 10344410.45
28.0, 10387466.81
28.1, 10429852.59
28.2, 10471576.24
28.3, 10512622.69
28.4, 10552998.13
28.5, 10592720.79
28.6, 10631803
28.7, 10670374.01
28.8, 10708172.74
28.9, 10745255.81
29.0, 10781669.81
29.1, 10817430.08
29.2, 10852549.91
29.3, 10887020.79
29.4, 10920841.23
29.5, 10954000.58
29.6, 10986507.67
29.7, 11018383
29.8, 11049643.33
29.9, 11080277.49
30.0, 11108705.2
30.1, 11134987.61
30.2, 11160729.19
