200 kVp X-ray spectrum data of 12 degree tunsten target with 0.8 mmAl permanent filteration
Energy(keV), Fluence (cm⁻² keV⁻¹)
1.0, 2.40E-91
1.1, 2.27E-70
1.2, 3.86E-55
1.3, 8.62E-44
1.4, 3.81E-35
1.5, 2.07E-28
1.6, 0
1.7, 9.38E-281
1.8, 4.92E-247
1.9, 8.91E-219
2.0, 4.08E-193
2.1, 6.20E-170
2.2, 2.48E-150
2.3, 1.23E-133
2.4, 2.58E-119
2.5, 5.94E-107
2.6, 3.19E-96
2.7, 7.43E-87
2.8, 1.22E-78
2.9, 2.11E-71
3.0, 7.41E-65
3.1, 6.29E-59
3.2, 1.17E-53
3.3, 5.86E-49
3.4, 9.44E-45
3.5, 5.67E-41
3.6, 1.44E-37
3.7, 1.71E-34
3.8, 1.04E-31
3.9, 3.54E-29
4.0, 7.64E-27
4.1, 1.09E-24
4.2, 1.02E-22
4.3, 6.44E-21
4.4, 2.90E-19
4.5, 9.57E-18
4.6, 2.40E-16
4.7, 4.67E-15
4.8, 7.28E-14
4.9, 9.25E-13
5.0, 9.94E-12
5.1, 9.18E-11
5.2, 7.24E-10
5.3, 4.94E-09
5.4, 2.96E-08
5.5, 1.58E-07
5.6, 7.51E-07
5.7, 3.23622E-06
5.8, 1.27131E-05
5.9, 4.58662E-05
6.0, 0.00015441
6.1, 0.000487307
6.2, 0.00143576
6.3, 0.003969708
6.4, 0.01034853
6.5, 0.02554505
6.6, 0.05994377
6.7, 0.134198126
6.8, 0.287567262
6.9, 0.591600536
7.0, 1.171870462
7.1, 2.240754295
7.2, 4.144914403
7.3, 44.37649012
7.4, 12.94901131
7.5, 21.9528229
7.6, 37.83427155
7.7, 58.54120344
7.8, 92.36263531
7.9, 148.3619832
8.0, 216.6745301
8.1, 323.7721133
8.2, 475.1494339
8.3, 63189.45543
8.4, 973.3184563
8.5, 1361.125259
8.6, 1876.382491
8.7, 5364.631336
8.8, 3426.411158
8.9, 4545.137502
9.0, 5962.311148
9.1, 7739.284785
9.2, 10308.56223
9.3, 12647.83468
9.4, 15939.94428
9.5, 76179.9868
9.6, 1120166.784
9.7, 30982.00549
9.8, 171346.1526
9.9, 884192.6539
10.0, 53823.50112
10.1, 116743.8131
10.2, 33503.26082
10.3, 29714.013
10.4, 34840.66486
10.5, 40640.24969
10.6, 47201.57893
10.7, 54594.80835
10.8, 62849.49733
10.9, 97716.60145
11.0, 82207.22818
11.1, 94599.13322
11.2, 105831.5822
11.3, 1304164.481
11.4, 143645.1496
11.5, 256514.2137
11.6, 262878.8393
11.7, 128821.6692
11.8, 148515.3467
11.9, 157567.4258
12.0, 233046.4627
12.1, 163492.7849
12.2, 176275.2341
12.3, 192347.9932
12.4, 209436.671
12.5, 227553.4362
12.6, 246727.2459
12.7, 266948.2437
12.8, 288234.8044
12.9, 310604.0358
13.0, 334071.4684
13.1, 358651.3953
13.2, 384356.5863
13.3, 411198.1588
13.4, 439185.7858
13.5, 468328.4283
13.6, 498633.4054
13.7, 530106.4604
13.8, 562751.6361
13.9, 596574.2507
14.0, 631652.7531
14.1, 667998.8115
14.2, 705539.2143
14.3, 744273.392
14.4, 784200.2199
14.5, 825315.9909
14.6, 867615.2669
14.7, 911092.2013
14.8, 955740.2933
14.9, 1001553.028
15.0, 1048446.618
15.1, 1096413.257
15.2, 1145516.45
15.3, 1195746.554
15.4, 1247093.52
15.5, 1299544.119
15.6, 1353084.82
15.7, 1407704.162
15.8, 1463387.774
15.9, 1520128.462
16.0, 1577903.097
16.1, 1636687.382
16.2, 1696475.045
16.3, 1757249.437
16.4, 1818992.638
16.5, 1881688.07
16.6, 1945317.811
16.7, 2009862.808
16.8, 2075305.552
16.9, 2141627.871
17.0, 2208810.903
17.1, 2276833.884
17.2, 2345675.623
17.3, 2415316.791
17.4, 2485736.897
17.5, 2557094.943
17.6, 2629391.365
17.7, 2702424.681
17.8, 2776173.82
17.9, 2850635.301
18.0, 2925769.434
18.1, 3001539
18.2, 3077940.438
18.3, 3154952.363
18.4, 3232552.203
18.5, 3310719.16
18.6, 3389431.454
18.7, 3468670.178
18.8, 3548414.83
18.9, 3628641.739
19.0, 3709329.276
19.1, 3790456.024
19.2, 3872004.602
19.3, 3953954.209
19.4, 4036276.419
19.5, 4118952.58
19.6, 4201969.023
19.7, 4285303.361
19.8, 4368943.12
19.9, 4452899.988
20.0, 4535934.363
20.1, 4618006.77
20.2, 4700293.611
20.3, 4782776.911
20.4, 4865444.007
20.5, 4948276.479
20.6, 5031251.483
20.7, 5114351.059
20.8, 5197561.673
20.9, 5280866.213
21.0, 5364247.282
21.1, 5447687.501
21.2, 5531166.884
21.3, 5614666.986
21.4, 5698158.593
21.5, 5781639.862
21.6, 5865102
21.7, 5948529.156
21.8, 6031908.26
21.9, 6115271.487
22.0, 6198679.874
22.1, 6282112.259
22.2, 6365434.824
22.3, 6448627.878
22.4, 6531679.887
22.5, 6614578.6
22.6, 6697305.719
22.7, 6779845.143
22.8, 6862186.279
22.9, 6944315.923
23.0, 7026219.658
23.1, 7107887.977
23.2, 7189307.909
23.3, 7270448.58
23.4, 7351312.456
23.5, 7431895.478
23.6, 7512179.939
23.7, 7592153.467
23.8, 7671824.633
23.9, 7751247.919
24.0, 7830288.292
24.1, 7908935.912
24.2, 7987218.423
24.3, 8065127.101
24.4, 8142651.014
24.5, 8219781.222
24.6, 8296508.344
24.7, 8372821.657
24.8, 8448713.148
24.9, 8524174.503
25.0, 8599385.835
25.1, 8674340.012
